Year,Month,Day,Hour,31297_Bike_Count
2019,7,11,4,30
2019,7,11,5,124
2019,7,11,6,450
2019,7,11,7,1083
2019,7,11,8,1290
2019,7,11,9,843
2019,7,11,10,553
2019,7,11,11,533
2019,7,11,12,796
2019,7,11,13,861
2019,7,11,14,866
2019,7,11,15,1034
2019,7,11,16,1287
2019,7,11,17,1339
2019,7,11,18,607
2019,7,11,19,888
2019,7,11,20,482
2019,7,11,21,400
2019,7,11,22,339
2019,7,11,23,219
2019,7,12,0,151
2019,7,12,1,67
2019,7,12,2,63
2019,7,12,3,25
2019,7,12,4,21
2019,7,12,5,110
2019,7,12,6,374
2019,7,12,7,1147
2019,7,12,8,1171
2019,7,12,9,591
2019,7,12,10,712
2019,7,12,11,769
2019,7,12,12,902
2019,7,12,13,1059
2019,7,12,14,1076
2019,7,12,15,978
2019,7,12,16,746
2019,7,12,17,914
2019,7,12,18,809
2019,7,12,19,766
2019,7,12,20,591
2019,7,12,21,418
2019,7,12,22,393
2019,7,12,23,390
2019,7,13,0,294
2019,7,13,1,229
2019,7,13,2,167
2019,7,13,3,89
2019,7,13,4,67
2019,7,13,5,67
2019,7,13,6,86
2019,7,13,7,143
2019,7,13,8,281
2019,7,13,9,496
2019,7,13,10,684
2019,7,13,11,850
2019,7,13,12,906
2019,7,13,13,951
2019,7,13,14,953
2019,7,13,15,988
2019,7,13,16,868
2019,7,13,17,961
2019,7,13,18,884
2019,7,13,19,779
2019,7,13,20,613
2019,7,13,21,485
2019,7,13,22,409
2019,7,13,23,340
2019,7,14,0,334
2019,7,14,1,239
2019,7,14,2,136
2019,7,14,3,113
2019,7,14,4,72
2019,7,14,5,63
2019,7,14,6,60
2019,7,14,7,75
2019,7,14,8,130
2019,7,14,9,326
2019,7,14,10,433
2019,7,14,11,491
2019,7,14,12,525
2019,7,14,13,635
2019,7,14,14,717
2019,7,14,15,791
2019,7,14,16,721
2019,7,14,17,814
2019,7,14,18,711
2019,7,14,19,551
2019,7,14,20,495
2019,7,14,21,332
2019,7,14,22,282
2019,7,14,23,104
2019,7,15,0,57
2019,7,15,1,38
2019,7,15,2,10
2019,7,15,3,11
2019,7,15,4,22
2019,7,15,5,120
2019,7,15,6,465
2019,7,15,7,1073
2019,7,15,8,1153
2019,7,15,9,817
2019,7,15,10,781
2019,7,15,11,833
2019,7,15,12,866
2019,7,15,13,934
2019,7,15,14,1040
2019,7,15,15,1040
2019,7,15,16,1392
2019,7,15,17,1574
2019,7,15,18,1305
2019,7,15,19,889
2019,7,15,20,576
2019,7,15,21,441
2019,7,15,22,325
2019,7,15,23,189
2019,7,16,0,100
2019,7,16,1,65
2019,7,16,2,19
2019,7,16,3,15
2019,7,16,4,28
2019,7,16,5,137
2019,7,16,6,489
2019,7,16,7,1113
2019,7,16,8,1229
2019,7,16,9,813
2019,7,16,10,789
2019,7,16,11,803
2019,7,16,12,943
2019,7,16,13,921
2019,7,16,14,1009
2019,7,16,15,1114
2019,7,16,16,1519
2019,7,16,17,1574
2019,7,16,18,1488
2019,7,16,19,913
2019,7,16,20,653
2019,7,16,21,492
2019,7,16,22,434
2019,7,16,23,229
2019,7,17,0,123
2019,7,17,1,52
2019,7,17,2,28
2019,7,17,3,19
2019,7,17,4,15
2019,7,17,5,139
2019,7,17,6,479
2019,7,17,7,1059
2019,7,17,8,1238
2019,7,17,9,851
2019,7,17,10,918
2019,7,17,11,889
2019,7,17,12,1026
2019,7,17,13,1098
2019,7,17,14,1064
2019,7,17,15,1253
2019,7,17,16,1398
2019,7,17,17,1625
2019,7,17,18,1393
2019,7,17,19,1096
2019,7,17,20,724
2019,7,17,21,555
2019,7,17,22,490
2019,7,17,23,302
2019,7,18,0,164
2019,7,18,1,115
2019,7,18,2,89
2019,7,18,3,47
2019,7,18,4,37
2019,7,18,5,165
2019,7,18,6,466
2019,7,18,7,1063
2019,7,18,8,1200
2019,7,18,9,869
2019,7,18,10,775
2019,7,18,11,821
2019,7,18,12,980
2019,7,18,13,953
2019,7,18,14,1032
2019,7,18,15,1261
2019,7,18,16,1502
2019,7,18,17,1540
2019,7,18,18,1365
2019,7,18,19,1051
2019,7,18,20,713
2019,7,18,21,495
2019,7,18,22,414
2019,7,18,23,286
2019,7,19,0,154
2019,7,19,1,93
2019,7,19,2,31
2019,7,19,3,26
2019,7,19,4,31
2019,7,19,5,114
2019,7,19,6,427
2019,7,19,7,943
2019,7,19,8,1037
2019,7,19,9,827
2019,7,19,10,784
2019,7,19,11,857
2019,7,19,12,1045
2019,7,19,13,1111
2019,7,19,14,1168
2019,7,19,15,1242
2019,7,19,16,1184
2019,7,19,17,1148
2019,7,19,18,1211
2019,7,19,19,1017
2019,7,19,20,777
2019,7,19,21,477
2019,7,19,22,461
2019,7,19,23,418
2019,7,20,0,287
2019,7,20,1,209
2019,7,20,2,165
2019,7,20,3,117
2019,7,20,4,78
2019,7,20,5,88
2019,7,20,6,90
2019,7,20,7,152
2019,7,20,8,280
2019,7,20,9,459
2019,7,20,10,724
2019,7,20,11,909
2019,7,20,12,955
2019,7,20,13,928
2019,7,20,14,571
2019,7,20,15,591
2019,7,20,16,648
2019,7,20,17,538
2019,7,20,18,418
2019,7,20,19,481
2019,7,20,20,418
2019,7,20,21,319
2019,7,20,22,284
2019,7,20,23,234
2019,7,21,0,242
2019,7,21,1,171
2019,7,21,2,145
2019,7,21,3,107
2019,7,21,4,64
2019,7,21,5,33
2019,7,21,6,53
2019,7,21,7,83
2019,7,21,8,114
2019,7,21,9,290
2019,7,21,10,436
2019,7,21,11,527
2019,7,21,12,715
2019,7,21,13,757
2019,7,21,14,830
2019,7,21,15,892
2019,7,21,16,827
2019,7,21,17,831
2019,7,21,18,774
2019,7,21,19,602
2019,7,21,20,451
2019,7,21,21,339
2019,7,21,22,225
2019,7,21,23,159
2019,7,22,0,65
2019,7,22,1,25
2019,7,22,2,13
2019,7,22,3,8
2019,7,22,4,29
2019,7,22,5,122
2019,7,22,6,480
2019,7,22,7,1025
2019,7,22,8,1079
2019,7,22,9,801
2019,7,22,10,792
2019,7,22,11,859
2019,7,22,12,835
2019,7,22,13,927
2019,7,22,14,975
2019,7,22,15,1183
2019,7,22,16,1454
2019,7,22,17,1549
2019,7,22,18,1293
2019,7,22,19,1032
2019,7,22,20,664
2019,7,22,21,556
2019,7,22,22,366
2019,7,22,23,200
2019,7,23,0,130
2019,7,23,1,48
2019,7,23,2,28
2019,7,23,3,12
2019,7,23,4,22
2019,7,23,5,144
2019,7,23,6,520
2019,7,23,7,1159
2019,7,23,8,1188
2019,7,23,9,869
2019,7,23,10,853
2019,7,23,11,837
2019,7,23,12,1003
2019,7,23,13,944
2019,7,23,14,1015
2019,7,23,15,1123
2019,7,23,16,1596
2019,7,23,17,1620
2019,7,23,18,1442
2019,7,23,19,1129
2019,7,23,20,790
2019,7,23,21,696
2019,7,23,22,473
2019,7,23,23,258
2019,7,24,0,112
2019,7,24,1,94
2019,7,24,2,38
2019,7,24,3,20
2019,7,24,4,38
2019,7,24,5,158
2019,7,24,6,521
2019,7,24,7,1112
2019,7,24,8,1130
2019,7,24,9,898
2019,7,24,10,858
2019,7,24,11,901
2019,7,24,12,913
2019,7,24,13,889
2019,7,24,14,928
2019,7,24,15,1077
2019,7,24,16,1362
2019,7,24,17,1354
2019,7,24,18,1225
2019,7,24,19,1048
2019,7,24,20,731
2019,7,24,21,628
2019,7,24,22,520
2019,7,24,23,314
2019,7,25,0,195
2019,7,25,1,86
2019,7,25,2,63
2019,7,25,3,55
2019,7,25,4,49
2019,7,25,5,145
2019,7,25,6,536
2019,7,25,7,1082
2019,7,25,8,1093
2019,7,25,9,836
2019,7,25,10,756
2019,7,25,11,702
2019,7,25,12,776
2019,7,25,13,723
2019,7,25,14,820
2019,7,25,15,994
2019,7,25,16,1153
2019,7,25,17,1185
2019,7,25,18,1062
2019,7,25,19,817
2019,7,25,20,680
2019,7,25,21,582
2019,7,25,22,443
2019,7,25,23,266
2019,7,26,0,197
2019,7,26,1,81
2019,7,26,2,28
2019,7,26,3,17
2019,7,26,4,31
2019,7,26,5,138
2019,7,26,6,451
2019,7,26,7,901
2019,7,26,8,923
2019,7,26,9,752
2019,7,26,10,643
2019,7,26,11,796
2019,7,26,12,972
2019,7,26,13,1015
2019,7,26,14,942
2019,7,26,15,985
2019,7,26,16,973
2019,7,26,17,928
2019,7,26,18,980
2019,7,26,19,807
2019,7,26,20,627
2019,7,26,21,513
2019,7,26,22,434
2019,7,26,23,349
2019,7,27,0,323
2019,7,27,1,215
2019,7,27,2,91
2019,7,27,3,100
2019,7,27,4,61
2019,7,27,5,71
2019,7,27,6,85
2019,7,27,7,170
2019,7,27,8,302
2019,7,27,9,583
2019,7,27,10,802
2019,7,27,11,841
2019,7,27,12,953
2019,7,27,13,908
2019,7,27,14,863
2019,7,27,15,735
2019,7,27,16,826
2019,7,27,17,835
2019,7,27,18,876
2019,7,27,19,718
2019,7,27,20,624
2019,7,27,21,465
2019,7,27,22,367
2019,7,27,23,309
2019,7,28,0,309
2019,7,28,1,217
2019,7,28,2,155
2019,7,28,3,104
2019,7,28,4,75
2019,7,28,5,59
2019,7,28,6,64
2019,7,28,7,85
2019,7,28,8,133
2019,7,28,9,295
2019,7,28,10,429
2019,7,28,11,545
2019,7,28,12,602
2019,7,28,13,682
2019,7,28,14,665
2019,7,28,15,735
2019,7,28,16,691
2019,7,28,17,611
2019,7,28,18,677
2019,7,28,19,528
2019,7,28,20,432
2019,7,28,21,285
2019,7,28,22,242
2019,7,28,23,90
2019,7,29,0,38
2019,7,29,1,27
2019,7,29,2,14
2019,7,29,3,9
2019,7,29,4,23
2019,7,29,5,161
2019,7,29,6,466
2019,7,29,7,1019
2019,7,29,8,1008
2019,7,29,9,778
2019,7,29,10,676
2019,7,29,11,779
2019,7,29,12,789
2019,7,29,13,791
2019,7,29,14,925
2019,7,29,15,1109
2019,7,29,16,1424
2019,7,29,17,1520
2019,7,29,18,1283
2019,7,29,19,870
2019,7,29,20,622
2019,7,29,21,421
2019,7,29,22,365
2019,7,29,23,213
2019,7,30,0,90
2019,7,30,1,69
2019,7,30,2,21
2019,7,30,3,23
2019,7,30,4,32
2019,7,30,5,149
2019,7,30,6,548
2019,7,30,7,1097
2019,7,30,8,1080
2019,7,30,9,852
2019,7,30,10,818
2019,7,30,11,800
2019,7,30,12,907
2019,7,30,13,930
2019,7,30,14,1004
2019,7,30,15,1179
2019,7,30,16,1481
2019,7,30,17,1561
2019,7,30,18,1428
2019,7,30,19,1015
2019,7,30,20,737
2019,7,30,21,592
2019,7,30,22,476
2019,7,30,23,251
2019,7,31,0,78
2019,7,31,1,67
2019,7,31,2,60
2019,7,31,3,21
2019,7,31,4,37
2019,7,31,5,145
2019,7,31,6,448
2019,7,31,7,1017
2019,7,31,8,1022
2019,7,31,9,859
2019,7,31,10,805
2019,7,31,11,912
2019,7,31,12,954
2019,7,31,13,871
2019,7,31,14,982
2019,7,31,15,1039
2019,7,31,16,1021
2019,7,31,17,1249
2019,7,31,18,1101
2019,7,31,19,781
2019,7,31,20,470
2019,7,31,21,435
2019,7,31,22,331
2019,7,31,23,184
2019,8,1,0,124
2019,8,1,1,81
2019,8,1,2,74
2019,8,1,3,38
2019,8,1,4,44
2019,8,1,5,143
2019,8,1,6,442
2019,8,1,7,993
2019,8,1,8,1003
2019,8,1,9,816
2019,8,1,10,668
2019,8,1,11,736
2019,8,1,12,889
2019,8,1,13,809
2019,8,1,14,914
2019,8,1,15,1127
2019,8,1,16,1386
2019,8,1,17,1509
2019,8,1,18,1240
2019,8,1,19,970
2019,8,1,20,558
2019,8,1,21,406
2019,8,1,22,382
2019,8,1,23,217
2019,8,2,0,117
2019,8,2,1,60
2019,8,2,2,50
2019,8,2,3,31
2019,8,2,4,27
2019,8,2,5,141
2019,8,2,6,426
2019,8,2,7,874
2019,8,2,8,902
2019,8,2,9,660
2019,8,2,10,714
2019,8,2,11,747
2019,8,2,12,905
2019,8,2,13,952
2019,8,2,14,1073
2019,8,2,15,1171
2019,8,2,16,1132
2019,8,2,17,978
2019,8,2,18,754
2019,8,2,19,619
2019,8,2,20,469
2019,8,2,21,380
2019,8,2,22,261
2019,8,2,23,241
2019,8,3,0,294
2019,8,3,1,280
2019,8,3,2,113
2019,8,3,3,120
2019,8,3,4,100
2019,8,3,5,74
2019,8,3,6,80
2019,8,3,7,140
2019,8,3,8,210
2019,8,3,9,481
2019,8,3,10,649
2019,8,3,11,868
2019,8,3,12,895
2019,8,3,13,999
2019,8,3,14,1013
2019,8,3,15,898
2019,8,3,16,987
2019,8,3,17,943
2019,8,3,18,911
2019,8,3,19,783
2019,8,3,20,612
2019,8,3,21,407
2019,8,3,22,316
2019,8,3,23,352
2019,8,4,0,276
2019,8,4,1,206
2019,8,4,2,126
2019,8,4,3,90
2019,8,4,4,53
2019,8,4,5,58
2019,8,4,6,42
2019,8,4,7,62
2019,8,4,8,109
2019,8,4,9,308
2019,8,4,10,363
2019,8,4,11,489
2019,8,4,12,705
2019,8,4,13,787
2019,8,4,14,946
2019,8,4,15,932
2019,8,4,16,895
2019,8,4,17,965
2019,8,4,18,847
2019,8,4,19,634
2019,8,4,20,523
2019,8,4,21,337
2019,8,4,22,260
2019,8,4,23,142
2019,8,5,0,74
2019,8,5,1,21
2019,8,5,2,10
2019,8,5,3,13
2019,8,5,4,27
2019,8,5,5,134
2019,8,5,6,462
2019,8,5,7,988
2019,8,5,8,968
2019,8,5,9,684
2019,8,5,10,712
2019,8,5,11,663
2019,8,5,12,751
2019,8,5,13,826
2019,8,5,14,846
2019,8,5,15,1057
2019,8,5,16,1478
2019,8,5,17,1471
2019,8,5,18,1227
2019,8,5,19,914
2019,8,5,20,606
2019,8,5,21,428
2019,8,5,22,346
2019,8,5,23,181
2019,8,6,0,107
2019,8,6,1,47
2019,8,6,2,18
2019,8,6,3,17
2019,8,6,4,27
2019,8,6,5,150
2019,8,6,6,437
2019,8,6,7,751
2019,8,6,8,850
2019,8,6,9,674
2019,8,6,10,674
2019,8,6,11,746
2019,8,6,12,869
2019,8,6,13,824
2019,8,6,14,856
2019,8,6,15,1043
2019,8,6,16,1443
2019,8,6,17,1430
2019,8,6,18,1327
2019,8,6,19,867
2019,8,6,20,630
2019,8,6,21,498
2019,8,6,22,418
2019,8,6,23,180
2019,8,7,0,82
2019,8,7,1,43
2019,8,7,2,21
2019,8,7,3,18
2019,8,7,4,20
2019,8,7,5,124
2019,8,7,6,432
2019,8,7,7,927
2019,8,7,8,973
2019,8,7,9,800
2019,8,7,10,805
2019,8,7,11,839
2019,8,7,12,890
2019,8,7,13,881
2019,8,7,14,917
2019,8,7,15,1012
2019,8,7,16,1340
2019,8,7,17,1550
2019,8,7,18,1346
2019,8,7,19,952
2019,8,7,20,662
2019,8,7,21,447
2019,8,7,22,404
2019,8,7,23,223
2019,8,8,0,121
2019,8,8,1,66
2019,8,8,2,39
2019,8,8,3,34
2019,8,8,4,34
2019,8,8,5,139
2019,8,8,6,454
2019,8,8,7,1037
2019,8,8,8,963
2019,8,8,9,746
2019,8,8,10,749
2019,8,8,11,793
2019,8,8,12,864
2019,8,8,13,872
2019,8,8,14,923
2019,8,8,15,1157
2019,8,8,16,1397
2019,8,8,17,1501
2019,8,8,18,1330
2019,8,8,19,898
2019,8,8,20,625
2019,8,8,21,442
2019,8,8,22,387
2019,8,8,23,255
2019,8,9,0,85
2019,8,9,1,47
2019,8,9,2,48
2019,8,9,3,18
2019,8,9,4,33
2019,8,9,5,128
2019,8,9,6,376
2019,8,9,7,813
2019,8,9,8,809
2019,8,9,9,657
2019,8,9,10,666
2019,8,9,11,698
2019,8,9,12,769
2019,8,9,13,861
2019,8,9,14,859
2019,8,9,15,890
2019,8,9,16,910
2019,8,9,17,913
2019,8,9,18,781
2019,8,9,19,641
2019,8,9,20,448
2019,8,9,21,320
2019,8,9,22,248
2019,8,9,23,211
2019,8,10,0,216
2019,8,10,1,168
2019,8,10,2,109
2019,8,10,3,78
2019,8,10,4,53
2019,8,10,5,55
2019,8,10,6,68
2019,8,10,7,141
2019,8,10,8,256
2019,8,10,9,464
2019,8,10,10,729
2019,8,10,11,746
2019,8,10,12,850
2019,8,10,13,905
2019,8,10,14,986
2019,8,10,15,814
2019,8,10,16,772
2019,8,10,17,730
2019,8,10,18,704
2019,8,10,19,580
2019,8,10,20,473
2019,8,10,21,336
2019,8,10,22,285
2019,8,10,23,272
2019,8,11,0,247
2019,8,11,1,161
2019,8,11,2,117
2019,8,11,3,82
2019,8,11,4,70
2019,8,11,5,49
2019,8,11,6,71
2019,8,11,7,61
2019,8,11,8,125
2019,8,11,9,252
2019,8,11,10,381
2019,8,11,11,474
2019,8,11,12,582
2019,8,11,13,616
2019,8,11,14,706
2019,8,11,15,754
2019,8,11,16,629
2019,8,11,17,759
2019,8,11,18,679
2019,8,11,19,499
2019,8,11,20,383
2019,8,11,21,289
2019,8,11,22,177
2019,8,11,23,75
2019,8,12,0,90
2019,8,12,1,21
2019,8,12,2,15
2019,8,12,3,3
2019,8,12,4,20
2019,8,12,5,137
2019,8,12,6,432
2019,8,12,7,1000
2019,8,12,8,986
2019,8,12,9,746
2019,8,12,10,783
2019,8,12,11,762
2019,8,12,12,845
2019,8,12,13,812
2019,8,12,14,893
2019,8,12,15,1121
2019,8,12,16,1352
2019,8,12,17,1209
2019,8,12,18,807
2019,8,12,19,565
2019,8,12,20,393
2019,8,12,21,206
2019,8,12,22,207
2019,8,12,23,144
2019,8,13,0,60
2019,8,13,1,32
2019,8,13,2,8
2019,8,13,3,6
2019,8,13,4,13
2019,8,13,5,136
2019,8,13,6,409
2019,8,13,7,892
2019,8,13,8,925
2019,8,13,9,741
2019,8,13,10,652
2019,8,13,11,685
2019,8,13,12,765
2019,8,13,13,745
2019,8,13,14,701
2019,8,13,15,843
2019,8,13,16,1103
2019,8,13,17,1111
2019,8,13,18,944
2019,8,13,19,583
2019,8,13,20,435
2019,8,13,21,289
2019,8,13,22,250
2019,8,13,23,126
2019,8,14,0,68
2019,8,14,1,30
2019,8,14,2,26
2019,8,14,3,13
2019,8,14,4,17
2019,8,14,5,128
2019,8,14,6,435
2019,8,14,7,1001
2019,8,14,8,1056
2019,8,14,9,768
2019,8,14,10,755
2019,8,14,11,857
2019,8,14,12,976
2019,8,14,13,977
2019,8,14,14,988
2019,8,14,15,1062
2019,8,14,16,1410
2019,8,14,17,1537
2019,8,14,18,1345
2019,8,14,19,955
2019,8,14,20,692
2019,8,14,21,447
2019,8,14,22,393
2019,8,14,23,217
2019,8,15,0,123
2019,8,15,1,62
2019,8,15,2,51
2019,8,15,3,34
2019,8,15,4,21
2019,8,15,5,114
2019,8,15,6,364
2019,8,15,7,799
2019,8,15,8,815
2019,8,15,9,576
2019,8,15,10,456
2019,8,15,11,534
2019,8,15,12,656
2019,8,15,13,661
2019,8,15,14,688
2019,8,15,15,680
2019,8,15,16,984
2019,8,15,17,1128
2019,8,15,18,1028
2019,8,15,19,671
2019,8,15,20,468
2019,8,15,21,375
2019,8,15,22,269
2019,8,15,23,191
2019,8,16,0,103
2019,8,16,1,60
2019,8,16,2,19
2019,8,16,3,18
2019,8,16,4,23
2019,8,16,5,115
2019,8,16,6,415
2019,8,16,7,882
2019,8,16,8,958
2019,8,16,9,710
2019,8,16,10,753
2019,8,16,11,756
2019,8,16,12,1001
2019,8,16,13,1087
2019,8,16,14,1165
2019,8,16,15,1339
2019,8,16,16,1210
2019,8,16,17,1322
2019,8,16,18,1220
2019,8,16,19,967
2019,8,16,20,714
2019,8,16,21,503
2019,8,16,22,448
2019,8,16,23,425
2019,8,17,0,387
2019,8,17,1,240
2019,8,17,2,124
2019,8,17,3,84
2019,8,17,4,52
2019,8,17,5,56
2019,8,17,6,69
2019,8,17,7,164
2019,8,17,8,254
2019,8,17,9,504
2019,8,17,10,688
2019,8,17,11,937
2019,8,17,12,886
2019,8,17,13,988
2019,8,17,14,902
2019,8,17,15,707
2019,8,17,16,722
2019,8,17,17,769
2019,8,17,18,745
2019,8,17,19,659
2019,8,17,20,574
2019,8,17,21,355
2019,8,17,22,307
2019,8,17,23,290
2019,8,18,0,371
2019,8,18,1,207
2019,8,18,2,145
2019,8,18,3,92
2019,8,18,4,51
2019,8,18,5,40
2019,8,18,6,46
2019,8,18,7,52
2019,8,18,8,78
2019,8,18,9,121
2019,8,18,10,162
